Ways of participation,Estimate,Participation,Rate
Sports club  or  association  6.85%,"40,468",0.20%,6.85
Gym/Fitness  club/sports  or leisure  centre  2.99%,"17,674",0.10%,2.99
Recreation club  or association  4.63%,"27,366",0.10%,4.63
Community  organisation  5.45%,"32,172",0.10%,5.45
Educational  institution  8.20%,"48,417",0.20%,8.20
Events  1.95%,"11,505",0.10%,1.95
Individual  personal  trainer  or coach  2.36%,"13,963",0.10%,2.36
Informally by  myself  11.36%,"67,122",0.30%,11.36
Informally with  friends/family  46.62%,"275,412",1.20%,46.62
Other less  formal group  activity  4.64%,"27,439",0.10%,4.64
Private or  Commercial  business  2.01%,"11,863",0.10%,2.01
Work  2.94%,"17,358",0.10%,2.94
,,,
