State,Year,Gender,Estimate
 NT,2023,Female,"1,012"
 NT,2024,Male,"1,145"
 NT,2023,Male,"1,696"
 NT,2024,Female,"1,829"
 TAS,2023,Female,"2,403"
 TAS,2024,Male,"2,523"
 TAS,2024,Female,"3,400"
 ACT,2023,Female,"3,933"
 ACT,2024,Female,"4,629"
 TAS,2023,Male,"5,088"
 ACT,2024,Male,"5,336"
 ACT,2023,Male,"6,675"
 SA,2024,Male,"7,684"
 SA,2024,Female,"8,490"
 SA,2023,Female,"8,709"
 WA,2023,Female,"18,277"
 QLD,2023,Female,"19,742"
 SA,2023,Male,"20,637"
 WA,2024,Female,"21,041"
 WA,2023,Male,"22,238"
 QLD,2023,Male,"22,416"
 QLD,2024,Male,"23,640"
 WA,2024,Male,"24,038"
 QLD,2024,Female,"24,794"
 VIC,2024,Female,"46,680"
 NSW,2024,Female,"53,477"
 NSW,2023,Female,"55,552"
 VIC,2023,Female,"59,140"
 VIC,2023,Male,"68,982"
 NSW,2023,Male,"71,664"
 VIC,2024,Male,"78,047"
 NSW,2024,Male,"84,452"
