Age group,Year,Gender,Estimate,Participation Rate
15 - 17,2024,Male,"34,915",7.0%
18 - 24,2024,Male,"55,609",4.4%
25 - 34,2024,Male,"74,790",3.7%
35 - 44,2024,Male,"40,467",2.1%
45 - 54,2024,Male,"10,343",0.6%
55 - 64,2024,Male,"5,183",0.3%
65+,2024,Male,"5,557",0.3%
15 - 17,2024,Female,"38,911",8.1%
18 - 24,2024,Female,"42,843",3.7%
25 - 34,2024,Female,"41,342",2.1%
35 - 44,2024,Female,"25,439",1.3%
45 - 54,2024,Female,"8,608",0.5%
55 - 64,2024,Female,"3,175",0.2%
65+,2024,Female,"4,023",0.2%
15 - 17,2024,All,"73,826",7.4%
18 - 24,2024,All,"98,452",4.0%
25 - 34,2024,All,"116,133",2.9%
35 - 44,2024,All,"65,906",1.7%
45 - 54,2024,All,"18,951",0.6%
55 - 64,2024,All,"8,358",0.3%
65+,2024,All,"9,580",0.2%
15 - 17,2023,Male,"37,577",7.6%
18 - 24,2023,Male,"42,768",3.6%
25 - 34,2023,Male,"70,222",3.6%
35 - 44,2023,Male,"39,328",2.1%
45 - 54,2023,Male,"18,652",1.1%
55 - 64,2023,Male,"7,226",0.5%
65+,2023,Male,"3,622",0.2%
15 - 17,2023,Female,"35,699",7.8%
18 - 24,2023,Female,"42,502",3.8%
25 - 34,2023,Female,"46,115",2.4%
35 - 44,2023,Female,"23,284",1.2%
45 - 54,2023,Female,"12,014",0.7%
55 - 64,2023,Female,"5,760",0.4%
65+,2023,Female,"3,392",0.1%
15 - 17,2023,All,"77,002",7.9%
18 - 24,2023,All,"85,270",3.6%
25 - 34,2023,All,"116,816",3.0%
35 - 44,2023,All,"62,612",1.7%
45 - 54,2023,All,"30,666",0.9%
55 - 64,2023,All,"12,987",0.4%
65+,2023,All,"7,015",0.2%
