Income,Year,Estimate,Participation Rate
"<$40,000",2024,"31,239",1.10%
"$40,000 - $69,999",2024,"31,937",1.00%
"$70,000 - $99,999",2024,"52,214",1.70%
"$100,000 - $149,999",2024,"83,271",2.00%
"$150,000 - $199,999",2024,"41,065",1.70%
"$200,000+",2024,"37,128",1.30%
"<$40,000",2023,"30,231",0.90%
"$40,000 - $69,999",2023,"34,303",1.00%
"$70,000 - $99,999",2023,"61,580",2.00%
"$100,000 - $149,999",2023,"79,918",2.00%
"$150,000 - $199,999",2023,"37,403",1.70%
"$200,000+",2023,"27,033",1.20%
