Year,Employment,Estimate,Participation Rate
2023,Employed full-time,"184,697",1.90%
2023,Employed part-time,"51,768",1.70%
2023,Employed casual,"27,473",2.20%
2023,Engaged in home duties,"5,857",0.70%
2023,Retired or on a pension,"10,415",0.20%
2023,Unemployed,"16,844",1.70%
2024,Employed full-time,"185,447",1.80%
2024,Employed part-time,"48,877",1.60%
2024,Employed casual,"24,278",1.80%
2024,Engaged in home duties,"2,141",0.30%
2024,Retired or on a pension,"12,169",0.30%
2024,Unemployed,"20,164",2.00%
